name,id,sub1,sub2,sub3,marks,percentage,result,course_enrollment_date,study_hrs_per_day,age,grade,random_color,device_id
     AKASH SHARMA     ,       18        ,   56   ,   77   ,   67   ,   56+77+67   ,   66.67   ,   Pass   ,   07-Jun-2020   ,    two    ,   None   ,   B   ,   green   ,   302124DD   
     Sneha Patel      ,    STU-0019    ,   -10   ,   94   ,   89   ,   -10+94+89   ,   88.67   ,   Pass   ,   01-10-2021   ,   26.1   ,   7   ,   A   ,   yellow   ,   67B15B3A   
     ANITA RAO     ,       20        ,   93   ,   82   ,   88   ,   263   ,   87.67   ,   Pass   ,"   December 24, 2024   ",   1.1   ,   17   ,   A   ,   black   ,   223CF2BD   
     Meena Khan      ,    STU-0021    ,   76   ,   44   ,   39   ,   76+44+39   ,   53.0   ,   Pass   ,   14/06/2023   ,   6.8   ,   17   ,   Average   ,   green   ,   3B26121A   
     SURESH REDDY     ,     S22X     ,   94   ,   ?   ,   93   ,   94+?+93   ,   88.33   ,   Pass   ,"   February 09, 2022   ",   1.3   ,     16 years    ,   A    ,   black   ,   1650753A   
     LOKESH AGARWAL     ,   23   ,   49   ,   150   ,   92   ,   49+150+92   ,   79.33   ,   Pass   ,   07-09-2020   ,    two    ,   19   ,   A   ,   blue   ,   FB98B8A0   
     ANITA PATEL     ,   24   ,   96   ,   41   ,   78   ,   215   ,   71.67   ,   Pass   ,   07-04-2019   ,   3.9   ,   17   ,   B+   ,   white   ,   66940907   
     SNEHA AGARWAL     ,   25   ,   AB   ,   88   ,   93   ,   277   ,   92.33   ,   Pass   ,   2023-08-24   ,   3.3   ,   None   ,   A+   ,   green   ,   804424FC   
      devika khan      ,    STU-0026    ,   81   ,   ?   ,   61   ,   81+?+61   ,   69.33   ,   Pass   ,"   January 27, 2019   ",     7.2 hrs    ,     16 years    ,   B   ,   white   ,   None   
     Meena Khan      ,    STU-0027    ,   96   ,   90   ,   36   ,   96+90+36   ,   74.0   ,   Pass   ,   06-15-2024   ,   4.8   ,   60   ,   Good   ,   blue   ,   227DFE85   
     ROHIT SHARMA     ,   None   ,   85   ,   72   ,   107   ,   207   ,   69.0   ,   Pass   ,   30/08/2024   ,   4.6   ,   17   ,   Good   ,   blue   ,   B6068ADB   
     Kiran Varma      ,       29        ,   89   ,   -18   ,   AB   ,   89+-18+AB   ,   79.0   ,   Pass   ,   12-Oct-2021   ,   4.5   ,   19   ,   Distinction   ,   white   ,   A35A50DD   
      devika sharma      ,       30        ,   98   ,   None   ,   55   ,   98+None+55   ,   73.67   ,   Pass   ,"   August 31, 2020   ",   3.0   ,   47   ,   Good   ,   green   ,   7A2E75F3   
      pooja sharma      ,     00031     ,   37   ,   85   ,   97   ,   37+85+97   ,   73.0%   ,   Pass   ,   06/12/2018   ,   6.3   ,   16   ,   B+   ,   white   ,   None   
     Harika Goud      ,     00032     ,   85   ,   92   ,   107   ,   221   ,   73.67   ,   Pass   ,"   January 27, 2020   ",   2.0   ,   18   ,   B   ,   unknown   ,   98840199   
     Lokesh Rao      ,   33   ,   41   ,   75   ,   43   ,   41+75+43   ,   53.0   ,   Pass   ,   None   ,   7.5   ,   16   ,   C   ,   red   ,   XXXXXXXX   
     TEJA RAO     ,     00034     ,   55   ,   40   ,   56   ,   55+40+56   ,   None   ,   Pass   ,   27/05/2024   ,   7.2   ,   19   ,   C   ,   green   ,   7E568292   
      meena varma      ,    STU-0035    ,   73   ,   91   ,   69   ,   73+91+69   ,   77.67   ,   Pass   ,   2024-06-11   ,   None   ,   18   ,   A    ,   red   ,   CDD487B5   
      suresh sharma      ,     id_36    ,   52   ,   54   ,   AB   ,   52+54+AB   ,   64.33   ,   Pass   ,"   July 27, 2020   ",   5.8   ,   18   ,   B+   ,   black   ,   DE437D65   
     Divya Gupta      ,    STU-0037    ,   138   ,   81   ,   -24   ,   138+81+-24   ,   58.67   ,   Pass   ,   04-27-2020   ,   4.6   ,   18   ,   None   ,   white   ,   217F9A89   
     Sanjana Varma      ,     00038     ,   AB   ,   33   ,   55   ,   182   ,   60.67   ,   Pass   ,   None   ,   2.7   ,   17   ,   B   ,   black   ,   id_missing   
      teja naidu      ,       39        ,   AB   ,   None   ,   92   ,   AB+None+92   ,   76.0   ,   Pass   ,   2024-12-25   ,     7.9 hrs    ,   17   ,   Distinction   ,   green   ,   602FE21B   
     HARIKA GOUD     ,    STU-0040    ,   AB   ,   150   ,   95   ,   AB+150+95   ,   62.33%   ,   Pass   ,"   May 10, 2018   ",   -0.2   ,   16   ,   B+   ,      ,   9178F03D   
     Sanjana Varma      ,       41        ,   87   ,   92   ,   None   ,   87+92+None   ,   77.67   ,   Pass   ,   20/08/2019   ,   -2.0   ,   18   ,   A   ,   black   ,   CE830CF0   
     Akash Reddy      ,    STU-0042    ,   36   ,   83   ,   32   ,   151   ,   50.33   ,   Pass   ,"   May 13, 2023   ",    0    ,   19   ,   C   ,   yellow   ,   7144E794   
      pooja reddy      ,       43        ,   94   ,   -18   ,   73   ,   94+-18+73   ,   84.33   ,   Pass   ,   14-Feb-2022   ,   -4.2   ,   17   ,   A    ,   blue   ,   1C6C5182   
     AKASH PATEL     ,     S44X     ,   78   ,   ?   ,   71   ,   78+?+71   ,   73.0   ,   Pass   ,"   May 11, 2020   ",   4.7   ,   19   ,   B+   ,   None   ,   4AA79460   
     Suresh Sharma      ,    STU-0045    ,   None   ,   32   ,   35   ,   None+32+35   ,   36.33   ,   Fail   ,   2020-09-25   ,   6.0   ,   9   ,   F   ,   blue   ,   7D5A2F34   
     Rohit Khan      ,       46        ,   81   ,   35   ,   68   ,   81+35+68   ,   61.33   ,   Pass   ,"   June 30, 2024   ",   5.0   ,   17.5   ,   None   ,   red   ,   311A2A2E   
      akash varma      ,     id_47    ,   69   ,   34   ,   None   ,   69+34+None   ,   61.33   ,   Pass   ,   10-31-2024   ,   4.8   ,   17   ,   Good   ,   black   ,   9A7468BB   
     PRASAD PATEL     ,   48   ,   70   ,   34   ,   52   ,   156   ,   118.2   ,   Pass   ,"   April 01, 2022   ",   0.4   ,   51   ,   None   ,   red   ,   CD27E0F0   
     LOKESH GUPTA     ,    STU-0049    ,   84   ,   83   ,   -24   ,   246   ,   82.0   ,   Pass   ,   None   ,   3.0   ,   17   ,   A+   ,   None   ,   0000   
     SURESH GUPTA     ,     id_50    ,   38   ,   76   ,   72   ,   38+76+72   ,   154.84   ,   Pass   ,   02-20-2022   ,   -1.9   ,   18   ,   B   ,   blue   ,   None   
     POOJA AGARWAL     ,   51   ,   36   ,   ?   ,   48   ,   162   ,   54.0   ,   Pass   ,   03/10/2022   ,   None   ,   18   ,   C   ,   blue   ,   637B2AD7   
     Sanjana Goud      ,    STU-0052    ,   40   ,   38   ,   98   ,   40+38+98   ,   58.67   ,   Pass   ,   20/12/2021   ,   4.4   ,   18   ,   None   ,   black   ,   81AB883A   
     SHIVA PATEL     ,     id_53    ,   88   ,   49   ,   -24   ,   88+49+-24   ,   72.33   ,   Pass   ,   02-01-2023   ,   None   ,   18   ,   Good   ,   None   ,   8F93650B   
     SHIVA PATEL     ,     id_54    ,   38   ,   -18   ,   40   ,   38+-18+40   ,   56.0   ,   Pass   ,   09-22-2018   ,   2.4   ,   16   ,   Average   ,   yellow   ,   CD708F6C   
     Meena Varma      ,     S55X     ,   88   ,   64   ,   41   ,   193   ,   64.33   ,   Pass   ,"   January 02, 2022   ",   39.2   ,   18   ,   Good   ,   yellow   ,   9529A07F   
     Vikram Agarwal      ,     id_56    ,   138   ,   79   ,   37   ,   138+79+37   ,   71.0   ,   Pass   ,   2018-06-06   ,   7.6   ,     17 years    ,   B   ,   black   ,   6906AE91   
     PRASAD SHARMA     ,     S57X     ,   None   ,   None   ,   53   ,   error   ,   65.33   ,   Pass   ,   16-Dec-2021   ,   7.6   ,   45   ,   Good   ,   white   ,   F9044B36   
      kiran sharma      ,     00058     ,   78   ,   46   ,   70   ,   194   ,   64.67   ,   Pass   ,   17/04/2024   ,    0    ,   18.5   ,   B+   ,   black   ,   5BC545FB   
     VIKRAM GUPTA     ,       59        ,   68   ,   None   ,   65   ,   165   ,   55.0   ,   Pass   ,   06-21-2022   ,    0    ,   16   ,   Average   ,   white   ,   AEFECC12   
     Varun Khan      ,   60   ,   96   ,   61   ,   84   ,   96+61+84   ,   80.33%   ,   Pass   ,   02/07/2024   ,   6.3   ,     17 years    ,   None   ,   red   ,   0AFB3F0E   
      sneha patel      ,       61        ,   48   ,   -18   ,   38   ,   48+-18+38   ,   42.67   ,   Pass   ,"   June 13, 2020   ",   4.7   ,   43   ,   Below Avg   ,   None   ,   0B8893C0   
     Harika Khan      ,       62        ,   82   ,   97   ,   76   ,   82+97+76   ,   -17.49   ,   Pass   ,   11-15-2023   ,   0.1   ,   19   ,   Distinction   ,   white   ,   CE1B001B   
     Lokesh Agarwal      ,     S63X     ,   138   ,   43   ,   44   ,   138+43+44   ,   45.33   ,   Pass   ,   None   ,   6.2   ,   5   ,   D   ,   yellow   ,   ED43DBE9   
     Suresh Agarwal      ,       64        ,   96   ,   40   ,   AB   ,   213   ,   None   ,   Pass   ,"   August 04, 2018   ",   5.6   ,   19   ,   B+   ,   white   ,   F36FF779   
     RAHUL SHARMA     ,     id_65    ,   74   ,   85   ,   -24   ,   230   ,   76.67   ,   Pass   ,   13/12/2023   ,   4.9   ,   18   ,   A+   ,   white   ,   CF9DF99E   
      sanjana goud      ,     S66X     ,   87   ,   96   ,   89   ,   87+96+89   ,   90.67   ,   Pass   ,   09-03-2022   ,   6.1   ,   18   ,   A    ,   black   ,   513D070B   
      akash sharma      ,       67        ,   -10   ,   58   ,   99   ,   N/A   ,   71.67   ,   Pass   ,   10-08-2023   ,   27.1   ,   7   ,   Good   ,   red   ,   33242915   
     DEVIKA PATEL     ,     S68X     ,   60   ,   38   ,   41   ,   60+38+41   ,   46.33%   ,   Pass   ,   17/04/2022   ,   5.6   ,   17   ,   D   ,   red   ,   1E576014   
      teja naidu      ,     00069     ,   94   ,   96   ,   31   ,   check   ,   73.67   ,   Pass   ,"   January 18, 2024   ",   7.5   ,   16   ,   B   ,   red   ,   dev-123   
     RAHUL GOUD     ,     S70X     ,   -10   ,   54   ,   36   ,   -10+54+36   ,   55.0   ,   Pass   ,   20/05/2024   ,   3.0   ,   17   ,   C   ,   red   ,   None   
     NAVEEN GUPTA     ,    STU-0071    ,   63   ,   71   ,   32   ,   63+71+32   ,   55.33   ,   Pass   ,   11-24-2023   ,    0    ,   17   ,   C   ,   green   ,   None   
     NAVEEN SHARMA     ,     id_72    ,   AB   ,   ?   ,   32   ,   AB+?+32   ,   39.67   ,   Fail   ,"   February 02, 2021   ",    two    ,   None   ,   Fail   ,   black   ,   40690AE2   
      devika agarwal      ,   73   ,   138   ,   69   ,   -24   ,   138+69+-24   ,   68.0   ,   Pass   ,   16/08/2018   ,   5.4   ,   5   ,   B   ,   blue   ,   23310632   
     Divya Varma      ,    STU-0074    ,   99   ,   54   ,   -24   ,   99+54+-24   ,   74.0   ,   Pass   ,   23/06/2024   ,   None   ,   18   ,   Good   ,   black   ,   XXXXXXXX   
     VIKRAM RAO     ,    STU-0075    ,   43   ,   34   ,   62   ,   43+34+62   ,   46.33   ,   Pass   ,   27-Jan-2022   ,   0.4   ,   18.5   ,   Below Avg   ,   green   ,   E1D1115F   
     Teja Agarwal      ,    STU-0076    ,   35   ,   150   ,   30   ,   105   ,   35.0   ,   Fail   ,"   March 12, 2020   ",   30.7   ,   None   ,   F   ,   N/A   ,   XXXXXXXX   
      naveen reddy      ,       77        ,   42   ,   88   ,   107   ,   42+88+107   ,   55.67   ,   Pass   ,   2022-06-11   ,   1.8   ,     16 years    ,   Average   ,   green   ,   DCC29D0C   
     DIVYA RAO     ,     S78X     ,   97   ,   67   ,   -24   ,   97+67+-24   ,   null   ,   Pass   ,   03-21-2023   ,   None   ,   16   ,   None   ,   yellow   ,   40A3D305   
      prasad reddy      ,     S79X     ,   45   ,   34   ,   77   ,   missing   ,   52.0   ,   Pass   ,   17/04/2019   ,   39.2   ,   19   ,   C   ,   yellow   ,   0000   
     ANITA RAO     ,       80        ,   138   ,   77   ,   33   ,   152   ,   50.67   ,   Pass   ,   15/12/2020   ,   6.2   ,   9   ,   Average   ,   black   ,   1E724333   
     Devika Varma      ,     id_81    ,   69   ,   47   ,   99   ,   69+47+99   ,   incomplete   ,   Pass   ,"   August 23, 2023   ",   1.0   ,   17   ,   Good   ,   black   ,   F7375E3B   
      kiran varma      ,       82        ,   69   ,   99   ,   107   ,   216   ,   72.0   ,   Pass   ,"   November 07, 2020   ",   5.0   ,     16 years    ,   Good   ,   blue   ,   CBEC520C   
     SHIVA SHARMA     ,       83        ,   None   ,   66   ,   61   ,   None+66+61   ,   None   ,   Pass   ,   12-01-2023   ,   None   ,     18 years    ,   None   ,   None   ,   0C454921   
     SNEHA NAIDU     ,       84        ,   39   ,   -18   ,   38   ,   39+-18+38   ,   55.33   ,   Pass   ,   None   ,    two    ,   19   ,   C   ,   yellow   ,   CF1AFAC7   
     Sneha Agarwal      ,     id_85    ,   75   ,   77   ,   41   ,   75+77+41   ,   64.33   ,   Pass   ,   2018-06-20   ,   7.4   ,   18   ,   Good   ,   N/A   ,   9214071B   
     Vikram Gupta      ,     id_86    ,   62   ,   57   ,   40   ,   62+57+40   ,   53.0   ,   Pass   ,   10-22-2018   ,   30.6   ,   19   ,   Average   ,   green   ,   A6EE2C15   
     Prasad Agarwal      ,     00087     ,   41   ,   98   ,   75   ,   41+98+75   ,   71.33   ,   Pass   ,   07-08-2018   ,   6.4   ,   17   ,   None   ,   blue   ,   62BB67F7   
     Teja Goud      ,     00088     ,   46   ,   69   ,   None   ,   46+69+None   ,   53.33   ,   Pass   ,   2019-03-02   ,   None   ,   16   ,   Average   ,   white   ,   A529B76E   
     NAVEEN KHAN     ,     00089     ,   AB   ,   74   ,   30   ,   172   ,   57.33   ,   Pass   ,   03/09/2020   ,   1.7   ,   19   ,   Average   ,   blue   ,   91F7196D   
     VARUN VARMA     ,     00090     ,   67   ,   91   ,   92   ,   67+91+92   ,   83.33   ,   Pass   ,   01-07-2021   ,   None   ,   16   ,   A+   ,   red   ,   63F54CCD   
     SANJANA VARMA     ,     S91X     ,   AB   ,   150   ,   AB   ,   AB+150+AB   ,   117.62   ,   Pass   ,   07-07-2020   ,   None   ,   18   ,   None   ,   unknown   ,   DAFE2F5E   
     DEVIKA PATEL     ,    STU-0092    ,   138   ,   96   ,   59   ,   138+96+59   ,   70.67   ,   Pass   ,   14/05/2019   ,   6.2   ,   47   ,   Good   ,   black   ,   E794B968   
      meena naidu      ,    STU-0093    ,   96   ,   ?   ,   42   ,   check   ,   74.33   ,   Pass   ,   12-27-2022   ,   7.3   ,   6   ,   Good   ,   green   ,   97C7D576   
     Naveen Naidu      ,     00094     ,   71   ,   -18   ,   63   ,   71+-18+63   ,   67.67   ,   Pass   ,   2020-05-15   ,     1.5 hrs    ,   17   ,   None   ,   red   ,   413E0148   
     ANITA VARMA     ,     00095     ,   138   ,   69   ,   AB   ,   138+69+AB   ,   60.0   ,   Pass   ,   2020-04-05   ,   7.4   ,   16   ,   Average   ,   blue   ,   B2E8F9FA   
     Pooja Sharma      ,   96   ,   69   ,   62   ,   57   ,   69+62+57   ,   62.67   ,   Pass   ,   02-02-2023   ,   5.6   ,     18 years    ,   B   ,   blue   ,   65514FB2   
      akash reddy      ,    STU-0097    ,   99   ,   35   ,   88   ,   99+35+88   ,   74.0   ,   Pass   ,   20-Oct-2023   ,    two    ,   5   ,   B   ,   yellow   ,   D0DE7F33   
     SHIVA AGARWAL     ,   98   ,   AB   ,   48   ,   56   ,   AB+48+56   ,   61.67   ,   Pass   ,   14/04/2024   ,   1.6   ,   None   ,   B+   ,   red   ,   1F4AB61B   
     POOJA KHAN     ,   99   ,   None   ,   69   ,   107   ,   None+69+107   ,   68.0   ,   Pass   ,   2018-05-26   ,   0.4   ,   18   ,   Good   ,   white   ,   71A9D5C4   
     POOJA REDDY     ,       100        ,   35   ,   88   ,   AB   ,   35+88+AB   ,   absent   ,   Pass   ,   30/06/2022   ,   4.5   ,   19   ,   Average   ,   black   ,   C8E4EF8C   
      sneha reddy      ,     S101X     ,   39   ,   -18   ,   32   ,   159   ,   53.0   ,   Pass   ,   12/08/2021   ,     5.2 hrs    ,   16   ,   C   ,      ,   0E5D45A1   
     POOJA SHARMA     ,     id_102    ,   48   ,   150   ,   97   ,   222   ,   74.0   ,   Pass   ,   15/04/2019   ,   1.7   ,   6   ,   Good   ,   white   ,   CD4A5790   
      kiran rao      ,    STU-0103    ,   138   ,   150   ,   54   ,   138+150+54   ,   61.67   ,   Pass   ,   07-12-2018   ,   4.5   ,   19   ,   None   ,   black   ,   CB05BF8C   
     SNEHA AGARWAL     ,     00104     ,   43   ,   42   ,   49   ,   missing   ,   44.67   ,   Pass   ,   12-27-2020   ,   None   ,     17 years    ,   None   ,   blue   ,   66C9C2A4   
      pooja goud      ,     00105     ,   49   ,   ?   ,   AB   ,   49+?+AB   ,   62.0   ,   Pass   ,   12-16-2024   ,   None   ,   19   ,   None   ,   white   ,   154C047B   
     Prasad Varma      ,     id_106    ,   76   ,   None   ,   55   ,   76+None+55   ,   71.0   ,   Pass   ,   21-Feb-2018   ,     7.4 hrs    ,   17   ,   B   ,   black   ,   B6309FCE   
     Sanjana Gupta      ,    STU-0107    ,   85   ,   71   ,   34   ,   85+71+34   ,   63.33   ,   Pass   ,   07-Aug-2024   ,     2.9 hrs    ,   17   ,   B+   ,   blue   ,   B2336574   
     SHIVA KHAN     ,     00108     ,   97   ,   None   ,   90   ,   279   ,   93.0   ,   Pass   ,   12-26-2022   ,    0    ,     16 years    ,   A+   ,   blue   ,   E225EA89   
     Prasad Varma      ,     00109     ,   86   ,   56   ,   38   ,   86+56+38   ,   -5.97   ,   Pass   ,   None   ,   6.0   ,   16.5   ,   C   ,   blue   ,   1B132998   
     PRASAD PATEL     ,       110        ,   38   ,   67   ,   79   ,   38+67+79   ,   61.33   ,   Pass   ,   02-13-2023   ,   38.3   ,   19   ,   Good   ,   blue   ,   C73F4696   
      rohit sharma      ,   111   ,   57   ,   89   ,   35   ,   181   ,   60.33   ,   Pass   ,   22/11/2022   ,   0.7   ,   63   ,   B+   ,   blue   ,   ABEAA624   
     Anita Patel      ,     00112     ,   49   ,   36   ,   89   ,   49+36+89   ,   None   ,   Pass   ,   25/12/2021   ,   2.3   ,   45   ,   C   ,   yellow   ,   205B23EE   
     MEENA PATEL     ,     S113X     ,   77   ,   34   ,   73   ,   77+34+73   ,   61.33   ,   Pass   ,   11/02/2023   ,   3.3   ,   16   ,   B+   ,   white   ,   2D620474   
      varun naidu      ,    STU-0114    ,   63   ,   74   ,   None   ,   63+74+None   ,   -3.1   ,   Pass   ,   01/07/2023   ,   None   ,   10   ,   C   ,   black   ,   B557AB01   
      kiran sharma      ,     S115X     ,   70   ,   87   ,   95   ,   70+87+95   ,   84.0   ,   Pass   ,   05-Dec-2021   ,   2.7   ,   18   ,   Distinction   ,   yellow   ,   3E55B55C   
     KIRAN PATEL     ,     id_116    ,   47   ,   None   ,   76   ,   47+None+76   ,   61.0   ,   Pass   ,"   April 19, 2020   ",   2.4   ,   62   ,   B   ,   yellow   ,   None   
      akash sharma      ,       117        ,   66   ,   ?   ,   32   ,   150   ,   50.0   ,   Pass   ,   08-29-2018   ,     0.3 hrs    ,   None   ,   Below Avg   ,   red   ,   86A6EB53   
     POOJA VARMA     ,    STU-0118    ,   93   ,   71   ,   59   ,   93+71+59   ,   74.33   ,   Pass   ,   2019-06-20   ,   None   ,   19   ,   Good   ,   red   ,   B1F13FEB   
     ROHIT AGARWAL     ,       119        ,   None   ,   39   ,   50   ,   None+39+50   ,   133.21   ,   Pass   ,   08-Nov-2021   ,   -4.8   ,   18   ,   Average   ,   red   ,   35D2A7D1   
     LOKESH GUPTA     ,   120   ,   76   ,   61   ,   57   ,   194   ,   64.67%   ,   Pass   ,   None   ,   28.9   ,   None   ,   B   ,   green   ,   0C872850   
     Varun Gupta      ,     00121     ,   79   ,   82   ,   91   ,   252   ,   102.15   ,   Pass   ,   2020-09-08   ,     1.5 hrs    ,   17   ,   A    ,   red   ,   None   
      suresh naidu      ,    STU-0122    ,   96   ,   59   ,   62   ,   217   ,   101.91%   ,   Pass   ,   08-Aug-2020   ,    0    ,   19   ,   None   ,   black   ,   C699B1E7   
      pooja sharma      ,     id_123    ,   None   ,   68   ,   64   ,   300/300   ,   74.33   ,   Pass   ,   03/09/2019   ,   5.0   ,   6   ,   B   ,   yellow   ,   F2AD3E31   
      lokesh agarwal      ,   124   ,   40   ,   60   ,   81   ,   40+60+81   ,   60.33%   ,   Pass   ,"   July 28, 2019   ",   34.1   ,   10   ,   None   ,   black   ,   316D86DA   
     Anita Reddy      ,   125   ,   62   ,   31   ,   None   ,   62+31+None   ,   135.64   ,   Pass   ,   05-22-2024   ,   4.1   ,   None   ,   Average   ,   white   ,   0DF789A4   
     Sanjana Reddy      ,       126        ,   62   ,   41   ,   -24   ,   62+41+-24   ,   57.67   ,   Pass   ,   2020-09-15   ,   2.8   ,   None   ,   None   ,   red   ,   75B2D1A9   
      sneha varma      ,   127   ,   138   ,   68   ,   80   ,   138+68+80   ,   75.33   ,   Pass   ,   04-04-2019   ,    two    ,   19   ,   None   ,   green   ,   5B8825F9   
     Teja Patel      ,    STU-0128    ,   64   ,   95   ,   76   ,   64+95+76   ,   78.33   ,   Pass   ,   12-14-2023   ,   2.7   ,   19   ,   Distinction   ,   white   ,   BBC7B309   
      prasad naidu      ,       129        ,   -10   ,   42   ,   107   ,   -10+42+107   ,   75.0   ,   Pass   ,   03-Mar-2022   ,   None   ,   51   ,   None   ,   None   ,   DEF655FE   
     ROHIT PATEL     ,   130   ,   None   ,   None   ,   86   ,   missing   ,   85.67   ,   Pass   ,   08/10/2024   ,   5.4   ,   19   ,   A+   ,   unknown   ,   BD63CC10   
     KIRAN GUPTA     ,     id_131    ,   35   ,   56   ,   52   ,   35+56+52   ,   47.67   ,   Pass   ,   2023-06-08   ,   4.3   ,   17.5   ,   Below Avg   ,   None   ,   29DEEBC4   
      harika reddy      ,     S132X     ,   61   ,   -18   ,   77   ,   61+-18+77   ,   61.33   ,   Pass   ,   04-16-2022   ,     2.8 hrs    ,   16   ,   B   ,   black   ,   75A7FBDF   
     HARIKA GOUD     ,    STU-0133    ,   AB   ,   89   ,   51   ,   AB+89+51   ,   121.81   ,   Pass   ,   30/11/2023   ,    0    ,   17   ,   A   ,   blue   ,   24E9A015   
     LOKESH GOUD     ,     id_134    ,   37   ,   93   ,   46   ,   37+93+46   ,   None   ,   Pass   ,   15/09/2024   ,    two    ,   65   ,   C   ,   black   ,   D16CA79C   
      varun agarwal      ,     id_135    ,   61   ,   64   ,   107   ,   223   ,   74.33   ,   Pass   ,   05-02-2018   ,   None   ,   5   ,   B   ,   red   ,   7F443E7A   
     Prasad Gupta      ,       136        ,   43   ,   99   ,   40   ,   43+99+40   ,   None   ,   Pass   ,"   September 30, 2018   ",   -1.1   ,   7   ,   B+   ,   blue   ,   B81C87FA   
     ROHIT GOUD     ,     00137     ,   96   ,   59   ,   44   ,   96+59+44   ,   66.33   ,   Pass   ,   None   ,   2.5   ,   17   ,   B+   ,   green   ,   1C370A4C   
     Rohit Reddy      ,       138        ,   71   ,   92   ,   64   ,   71+92+64   ,   75.67   ,   Pass   ,   2019-02-02   ,   31.4   ,     18 years    ,   A    ,   yellow   ,   DCE8A3DE   
      shiva agarwal      ,    STU-0139    ,   None   ,   57   ,   62   ,   204   ,   68.0   ,   Pass   ,   23-Nov-2024   ,   0.7   ,   19   ,   None   ,   yellow   ,   02AECD82   
     KIRAN RAO     ,    STU-0140    ,   138   ,   150   ,   45   ,   138+150+45   ,   70.67   ,   Pass   ,   2020-09-11   ,   7.9   ,   18   ,   B   ,   unknown   ,   46696F21   
     KIRAN REDDY     ,       141        ,   58   ,   66   ,   -24   ,   58+66+-24   ,   62.33   ,   Pass   ,"   May 15, 2021   ",   4.3   ,   16   ,   B+   ,   red   ,   820CFD86   
     Shiva Naidu      ,     00142     ,   93   ,   51   ,   95   ,   93+51+95   ,   79.67   ,   Pass   ,   07/02/2021   ,   7.9   ,   None   ,   A    ,   green   ,   A92699B4   
